"log_wage_homo","log_wage_hetero","education","experience","experience_sq","north","northeast","south","centerwest","male","white","log_wage_predito_hetero","log_wage_predito_homo"
7.74995825267968,7.96453456391185,5,5,25,0,1,0,0,1,0,7.58483167392624,7.70046352137785
8.28917196383094,8.12375617130255,10,7,49,0,1,0,0,0,0,8.05278527920885,8.15149178378993
9.08608223029044,8.96531737148097,13,13,169,0,0,0,0,1,1,9.28168688575425,9.30070420936157
8.14694941956477,7.04480379081852,4,34,1156,1,0,0,0,0,0,7.95206711938726,7.75146608890713
9.67259025943219,8.17238877387144,11,22,484,0,0,0,0,1,1,9.21753918342339,9.18873623639413
8.76360750730334,8.40622488126432,11,25,625,1,0,0,0,0,1,8.98451106864178,8.80726979708808
7.978174131149,7.88130393669051,7,14,196,0,1,0,0,0,1,8.08782656039413,8.12041501921444
8.53935607673134,8.09298753268296,8,1,1,0,0,0,0,0,1,8.03381735907016,8.09239563305648
8.87403630478496,8.84261770105548,8,22,484,0,0,0,0,1,1,8.82378780784399,8.8012689874976
8.23207761938678,8.05481794994118,6,13,169,0,0,0,1,0,1,8.2497175273754,8.19234882475301
8.11755509323824,8.42868374902525,8,18,324,0,1,0,0,1,0,8.31470391917378,8.37267452723371
8.32300340492739,9.66618818926597,6,25,625,0,1,0,0,1,1,8.43202102249914,8.39833534455589
9.2610523011834,8.23782697386655,7,22,484,0,0,0,0,1,0,8.44918509281489,8.47562978477808
8.51776842715433,7.65494654513258,10,0,0,1,0,0,0,1,0,8.22642888876111,8.20646150861361
8.07799705060207,8.85572431258774,13,0,0,0,1,0,0,0,1,8.47328283332842,8.52945116598179
8.08442899677517,8.16868680059808,9,32,1024,1,0,0,0,0,0,8.58395798126143,8.39387941967724
7.71067249407326,8.85065927127732,8,4,16,0,0,0,1,1,0,8.26600016686431,8.28055586428134
7.92796388016208,7.82739377006414,6,5,25,0,0,0,1,1,0,8.0338069409958,8.05073120073099
7.99327009868583,7.95116538182703,7,4,16,0,1,0,0,1,1,8.06037715629738,8.12677163801554
9.86101778551062,10.2938090939182,18,9,81,0,0,0,0,0,1,9.58623933685506,9.60808583235073
