"education","male","white","experience","region","north","northeast","south","centerwest","log_wage_homo","wage_homo","log_wage_hetero","wage_hetero"
5,1,0,5,"Northeast",0,1,0,0,7.74995825267968,2321.47549720685,7.96453456391185,2877.08976483692
10,0,0,7,"Northeast",0,1,0,0,8.28917196383094,3980.53680109595,8.12375617130255,3373.66905448723
13,1,1,13,"Southeast",0,0,0,0,9.08608223029044,8831.51833151891,8.96531737148097,7826.86535856918
4,0,0,34,"North",1,0,0,0,8.14694941956477,3452.8298478619,7.04480379081852,1146.88378460939
11,1,1,22,"Southeast",0,0,0,0,9.67259025943219,15876.4198547737,8.17238877387144,3541.79441244919
11,0,1,25,"North",1,0,0,0,8.76360750730334,6397.14775867336,8.40622488126432,4474.83554925701
7,0,1,14,"Northeast",0,1,0,0,7.978174131149,2916.60086876642,7.88130393669051,2647.32225073875
8,0,1,1,"Southeast",0,0,0,0,8.53935607673134,5112.05153266505,8.09298753268296,3271.44653880464
8,1,1,22,"Southeast",0,0,0,0,8.87403630478496,7144.05845408041,8.84261770105548,6923.09152527809
6,0,1,13,"CenterWest",0,0,0,1,8.23207761938678,3759.63673763963,8.05481794994118,3148.92986889861
8,1,0,18,"Northeast",0,1,0,0,8.11755509323824,3352.81339991904,8.42868374902525,4576.4723406348
6,1,1,25,"Northeast",0,1,0,0,8.32300340492739,4117.50799979805,9.66618818926597,15775.1025671206
7,1,0,22,"Southeast",0,0,0,0,9.2610523011834,10520.1979345227,8.23782697386655,3781.31447875522
10,1,0,0,"North",1,0,0,0,8.51776842715433,5002.87700608948,7.65494654513258,2111.06226968547
13,0,1,0,"Northeast",0,1,0,0,8.07799705060207,3222.77171908413,8.85572431258774,7014.4270385591
9,0,0,32,"North",1,0,0,0,8.08442899677517,3243.56721938642,8.16868680059808,3528.70702372268
8,1,0,4,"CenterWest",0,0,0,1,7.71067249407326,2232.04278912697,8.85065927127732,6978.98850043322
6,1,0,5,"CenterWest",0,0,0,1,7.92796388016208,2773.77331600549,7.82739377006414,2508.38342303068
7,1,1,4,"Northeast",0,1,0,0,7.99327009868583,2960.96378892134,7.95116538182703,2838.88140425734
18,0,1,9,"Southeast",0,0,0,0,9.86101778551062,19168.3888190691,10.2938090939182,29549.1156137664
10,1,0,8,"North",1,0,0,0,8.85481739943876,7008.06844622655,8.06123645387929,3169.206290197
8,0,0,8,"Southeast",0,0,0,0,8.23121042421156,3756.37781206665,6.95544279821922,1048.84286089506
8,1,1,5,"Northeast",0,1,0,0,8.27699179786631,3932.34727620316,8.55850607198453,5210.89065912663
11,0,1,29,"South",0,0,1,0,8.6088643691486,5480.02186089542,10.2608314661656,28590.5483857378
7,0,1,25,"Southeast",0,0,0,0,8.43033879011712,4584.05286172092,8.39736994966491,4435.38610538158
4,0,0,22,"Northeast",0,1,0,0,7.34919224469666,1554.94000938679,7.78787510153082,2411.18860387252
12,0,1,9,"Southeast",0,0,0,0,8.65107567393861,5716.29229449782,8.62483228834724,5568.22877340173
6,0,1,10,"Southeast",0,0,0,0,8.31343096285487,4078.28143950727,8.70636161702599,6041.22217326126
9,1,0,10,"Southeast",0,0,0,0,8.79223284328971,6582.91439405176,8.91457232246785,7439.59969889617
6,1,0,15,"Northeast",0,1,0,0,8.69370532661645,5965.24452279539,7.53602144810771,1874.35794064931
13,0,1,10,"CenterWest",0,0,0,1,9.351855400197,11520.1781690886,9.53203986378871,13794.7017158342
8,1,1,29,"South",0,0,1,0,8.85198496549972,6988.24664054191,9.2440237825097,10342.5711998161
7,0,0,5,"CenterWest",0,0,0,1,8.29714919336444,4012.41744737796,7.3805977178328,1604.54854854486
8,1,1,17,"Southeast",0,0,0,0,9.00392871881022,8134.98128266438,8.72629217305073,6162.83496994096
4,0,0,22,"Southeast",0,0,0,0,7.7109360595672,2232.6311561204,7.5757655743972,1950.35283145352
5,1,1,15,"Southeast",0,0,0,0,8.50181841720837,4923.71407114948,7.23251813967662,1383.70247682699
4,0,0,40,"Southeast",0,0,0,0,8.11418997762277,3341.54975754975,8.0647615301381,3180.39769774352
5,0,0,13,"Northeast",0,1,0,0,7.02120687351421,1120.13766679216,7.36864915830459,1585.4905890171
8,0,1,1,"Southeast",0,0,0,0,7.83110284496212,2517.70448058385,8.14869036471464,3458.84627085048
8,0,0,7,"Northeast",0,1,0,0,7.79060565042899,2417.78146923242,7.97715189360737,2913.6209332249
15,0,1,25,"South",0,0,1,0,9.09869305295417,8943.59625512338,8.97980308038482,7941.06820942989
6,1,1,28,"Southeast",0,0,0,0,8.12945302466593,3392.94320125402,7.59991081061439,1998.01768518724
7,1,1,11,"Northeast",0,1,0,0,8.58849203690133,5369.51054357699,7.69240587273531,2191.64103386666
9,1,0,0,"Southeast",0,0,0,0,7.24767203247514,1404.83063845217,8.06258527629805,3173.48387089075
6,1,0,29,"Southeast",0,0,0,0,8.56396024470274,5239.38940468915,8.29460978021302,4002.24118807505
6,0,1,16,"North",1,0,0,0,8.34082852921433,4191.56113404511,8.61119552174313,5492.81152961735
6,0,1,14,"Southeast",0,0,0,0,8.24246988885625,3798.91161983316,8.28443035060876,3961.70731152529
5,1,0,5,"Northeast",0,1,0,0,7.56247949432043,1924.6116658022,8.56373810727714,5238.2256694744
8,1,0,15,"North",1,0,0,0,8.59461987064679,5402.51503121161,8.03931659743606,3100.49358087445
8,1,0,19,"Southeast",0,0,0,0,8.85746057907374,7026.61653218704,9.26182185616632,10528.2969211726
4,0,1,26,"Northeast",0,1,0,0,8.26154126826084,3872.05738294007,7.9256197147524,2767.27874768906
7,0,0,17,"North",1,0,0,0,7.52709445639883,1857.70002601053,8.52447302498964,5036.5319798967
6,1,1,18,"Northeast",0,1,0,0,7.88017181253901,2644.32684918504,8.73325586023679,6205.90079930068
6,1,1,28,"Southeast",0,0,0,0,8.59978200454247,5430.47564329755,8.44150476459011,4635.52511308894
9,0,1,8,"Northeast",0,1,0,0,8.42074764992782,4540.29673906877,8.60965356411594,5484.34837357542
11,0,0,8,"Northeast",0,1,0,0,8.30128235976716,4029.0357558246,8.70804374077433,6051.39280828307
15,0,0,10,"North",1,0,0,0,8.81489071033397,6733.77179273455,8.31244626388388,4074.26753653779
7,0,0,16,"Southeast",0,0,0,0,7.96663693723467,2883.14484439447,8.79980533157542,6632.95265414569
15,1,0,17,"Northeast",0,1,0,0,8.97508224477348,7903.6680812225,9.09672421209192,8926.00506017494
5,1,1,16,"Southeast",0,0,0,0,8.65543247401438,5741.25136856707,8.77861427507493,6493.8722150017
12,1,1,30,"Northeast",0,1,0,0,9.98473865489264,21692.8643768635,10.1123552267981,24645.6385025176
18,1,0,15,"Southeast",0,0,0,0,9.69622341946193,16256.0986593243,9.46306020955309,12875.2251087403
9,0,1,19,"Northeast",0,1,0,0,8.71618245893552,6100.8443519536,7.86055473085946,2592.958370551
7,1,0,18,"Northeast",0,1,0,0,8.6003753588201,5433.69879539106,9.07072548000294,8696.93096708136
9,1,0,15,"Southeast",0,0,0,0,8.61914843959693,5536.66957705888,7.97597669006867,2910.19884681163
16,1,1,22,"Southeast",0,0,0,0,10.1216470230492,24875.707978007,9.18488518932059,9748.6606889506
6,1,1,15,"Southeast",0,0,0,0,8.23288870143869,3762.68734849982,8.62000505317553,5541.41439534659
14,0,1,33,"South",0,0,1,0,9.71619400917613,16584.0058883246,9.84599817688937,18882.6384224835
14,0,1,8,"Southeast",0,0,0,0,8.93161163422981,7567.4515177099,9.25637130120942,10471.0679666644
11,1,1,21,"Southeast",0,0,0,0,8.58704500031122,5361.74628428789,9.34910200367066,11488.5021788276
10,1,0,26,"North",1,0,0,0,8.35967457150251,4271.30453598,10.2625722866922,28640.3627455857
8,0,1,9,"North",1,0,0,0,7.95231497559743,2842.14684123796,8.24488784780561,3808.10834635504
8,0,0,10,"Southeast",0,0,0,0,8.62514914425259,5569.99337911908,7.70487140203508,2219.13198805365
12,1,1,22,"South",0,0,1,0,9.90360085071657,20002.2660919785,8.93393901757416,7585.08438959819
17,0,1,14,"Southeast",0,0,0,0,9.65655469021184,15623.8627852494,8.83539067311312,6873.23851092603
9,1,1,7,"South",0,0,1,0,8.87339764852343,7139.49731307164,8.61570774942032,5517.65234739266
5,0,0,28,"Southeast",0,0,0,0,7.7134733288602,2238.30313522174,7.58548191631609,1969.39548909916
7,0,0,1,"Southeast",0,0,0,0,7.01707318161872,1115.51691974912,7.72432401008721,2262.72249277513
10,1,0,12,"Southeast",0,0,0,0,8.64444881791722,5678.53648780459,8.28029539616804,3945.35965398674
8,0,0,17,"Southeast",0,0,0,0,8.27919376056949,3941.01569851013,9.03594371968144,8399.63658060206
9,0,0,0,"South",0,0,1,0,7.98658585893679,2941.23799647506,8.51309075211061,4979.52982101471
9,0,1,22,"Southeast",0,0,0,0,8.33377080644851,4162.08240631368,8.52722754718813,5050.42434366704
5,0,0,22,"Northeast",0,1,0,0,7.30536983107294,1488.27026867347,8.49215283232459,4876.35275100259
9,0,1,20,"Southeast",0,0,0,0,8.52324991412889,5030.37550872246,9.50364544759202,13408.5178922608
12,1,0,7,"South",0,0,1,0,9.32622132362534,11228.6218928419,8.92803750441305,7540.45274091125
12,0,0,26,"Northeast",0,1,0,0,9.3461328498292,11454.4416389649,9.04373608905368,8465.34533237155
11,0,0,21,"Southeast",0,0,0,0,8.47313188841055,4784.47647558628,8.92753506609217,7536.66508011007
8,1,1,21,"Southeast",0,0,0,0,9.02333362980349,8294.38144151345,9.07716924974134,8753.15293382996
9,0,0,31,"Southeast",0,0,0,0,9.01339221500245,8212.33207423811,8.55236515588869,5178.98906954975
5,0,1,13,"South",0,0,1,0,7.7173376281572,2246.96934207793,7.73999169731526,2298.45329970997
9,1,1,32,"South",0,0,1,0,9.11039183002615,9048.83980403021,10.1452958379359,25471.0002255823
10,1,0,12,"CenterWest",0,0,0,1,8.82184901872824,6780.7908503626,8.46617561470024,4751.30983950455
15,1,0,24,"Southeast",0,0,0,0,9.75296935497873,17205.2415039296,9.76900507993568,17483.3640127526
13,1,0,20,"Northeast",0,1,0,0,9.52024592971866,13632.9635526667,9.19102851721798,9808.7342449659
8,0,0,14,"North",1,0,0,0,7.57199411135822,1943.0110012598,8.2914935282599,3989.78860892016
11,1,0,10,"Southeast",0,0,0,0,9.07377402761535,8723.48442939853,7.54225447220062,1886.0773445735
6,0,1,13,"Northeast",0,1,0,0,8.06579053822237,3183.67203705758,6.7068161199491,817.962195650923
13,0,0,5,"North",1,0,0,0,8.32457561566285,4123.98668167073,7.76449097441231,2355.45919431265
13,1,1,18,"Southeast",0,0,0,0,9.45375826530934,12756.0157814701,8.65867058591937,5759.87231505681
17,0,0,19,"Northeast",0,1,0,0,10.1728676384107,26183.0527383962,7.08187311689973,1190.1958077528
11,0,0,35,"Northeast",0,1,0,0,8.6552995279542,5740.48814255218,9.59561552513405,14700.1874609935
8,1,1,7,"Southeast",0,0,0,0,8.13680053349953,3417.96469164078,8.40895714257533,4487.07868741121
10,0,0,14,"Southeast",0,0,0,0,8.03283708833842,3080.46884978353,8.29806091159164,4016.07730962793
8,0,0,6,"Southeast",0,0,0,0,7.50401974129297,1815.32490426533,7.23140405942659,1382.16177961516
7,1,0,8,"Southeast",0,0,0,0,7.94095384588663,2810.03957507902,8.28503192746355,3964.09129995358
10,1,0,7,"Southeast",0,0,0,0,9.83683729163732,18710.4466573588,7.58418024015988,1966.83364165844
6,1,1,12,"Southeast",0,0,0,0,8.24627911425356,3813.41012696702,7.56023802092951,1920.30253117491
10,0,0,37,"Northeast",0,1,0,0,9.07444089900219,8729.30381173217,9.62981545700823,15211.6286485815
11,0,1,25,"Northeast",0,1,0,0,8.30008221552004,4024.20323218359,9.18161448145276,9716.82775422731
9,1,0,23,"CenterWest",0,0,0,1,9.31340222962422,11085.5997986824,9.67770591903832,15957.8463119564
9,1,1,7,"South",0,0,1,0,8.46538193997056,4747.54034102774,8.82401971882525,6795.52590062088
7,1,0,34,"Southeast",0,0,0,0,8.18661307694596,3592.53398159227,8.61015285430657,5487.08733863265
6,1,1,35,"Northeast",0,1,0,0,8.14425630665191,3443.54349742056,7.36265238737687,1576.01121636736
12,1,1,7,"CenterWest",0,0,0,1,8.97971534919668,7940.37156064014,8.72759992922689,6170.89972765448
10,0,0,17,"Southeast",0,0,0,0,8.19729898552612,3631.12931714262,8.95447688264982,7742.47654647361
12,1,1,18,"Southeast",0,0,0,0,9.57209345510953,14358.4436399515,11.2330627593518,75588.7513440625
5,0,1,0,"Southeast",0,0,0,0,7.88185445438748,2648.78004972262,7.67310479812298,2149.7456206025
10,0,1,24,"Southeast",0,0,0,0,9.46974281898008,12961.5533370778,8.09645730552301,3282.81743095089
12,1,1,7,"Southeast",0,0,0,0,9.12270922223496,9160.98717662213,9.07693122765036,8751.06973799914
9,0,1,23,"Southeast",0,0,0,0,8.72856196705141,6176.83922315542,7.51905829824984,1842.83107943067
9,1,1,20,"Northeast",0,1,0,0,8.80562153451821,6671.6436611961,7.71050111036669,2231.66028613889
7,1,0,19,"South",0,0,1,0,8.51133712867587,4970.805252866,9.51148513742082,13514.0496411849
17,1,0,22,"Southeast",0,0,0,0,10.1714056267291,26144.8007786524,9.18612106227957,9760.71624311458
12,1,0,23,"Southeast",0,0,0,0,9.34467876201964,11437.7979786167,8.5319084096637,5074.12010048707
16,0,1,19,"Northeast",0,1,0,0,9.72055700861132,16656.5199710695,9.6621556021812,15711.6161854622
10,1,0,6,"Southeast",0,0,0,0,8.98420518752445,7976.1026987022,9.02008180326268,8267.45335825926
7,0,1,6,"Southeast",0,0,0,0,8.14766066821701,3455.28654199424,7.99475587501317,2965.36638865436
4,1,1,6,"Northeast",0,1,0,0,8.91591263913535,7449.5778037885,7.57426888098177,1947.43593460758
7,0,1,12,"North",1,0,0,0,8.15519271400694,3481.41017715086,8.37800864699895,4350.3372377572
10,1,0,17,"Northeast",0,1,0,0,8.30883614755498,4059.58547469726,8.37680601429808,4345.10852467617
13,1,1,10,"Northeast",0,1,0,0,8.80094453073877,6640.5132139339,9.0406926297827,8439.62056463575
10,1,0,23,"Southeast",0,0,0,0,8.56890514180512,5265.36180868417,8.81388182806506,6726.98163558045
5,0,1,13,"Southeast",0,0,0,0,7.69501340845215,2197.36327337065,8.329062459893,4142.53194125166
12,0,0,0,"Southeast",0,0,0,0,8.58586679515874,5355.43276722898,8.06897550483511,3193.82809096258
4,1,0,34,"Southeast",0,0,0,0,8.56848746325321,5263.16303921,7.90279632745186,2704.83536835342
8,0,1,28,"North",1,0,0,0,7.82916213476604,2512.82308404778,8.6005276859309,5434.52655807324
8,1,0,33,"CenterWest",0,0,0,1,8.6572931722851,5751.94404990213,8.14193056482932,3435.54401026745
4,1,1,25,"Southeast",0,0,0,0,8.09192484817929,3267.97186982869,7.90529075071238,2711.59079455547
13,1,1,0,"Northeast",0,1,0,0,8.47426454776328,4789.89872781692,10.3231215128666,30428.0911852271
7,0,0,14,"Southeast",0,0,0,0,7.80310697822153,2448.19666697412,8.27994478682059,3943.97661648009
8,1,0,21,"Northeast",0,1,0,0,8.4977989022918,4903.96285075059,8.47226140383057,4780.31347476787
14,0,1,19,"Northeast",0,1,0,0,9.21897460210939,10086.7161261039,8.94335130518257,7656.81442772851
12,0,0,22,"Southeast",0,0,0,0,8.95794115909493,7769.34513884488,8.48316667664419,4832.72938277077
9,1,0,21,"Southeast",0,0,0,0,8.99383954309252,8053.31867395965,8.74443846156593,6275.68838998296
11,0,1,0,"Northeast",0,1,0,0,8.38937106487891,4400.04947815743,7.72328198472091,2260.3659065653
11,0,0,14,"Southeast",0,0,0,0,8.66966730771987,5823.56157322271,9.29715058205124,10906.8965816524
15,0,0,12,"Southeast",0,0,0,0,8.54456136204512,5138.73059525861,9.18766753882123,9775.82263964766
10,0,0,16,"CenterWest",0,0,0,1,9.17340630854587,9637.39678942604,8.22782394226893,3743.67842170113
11,1,1,0,"South",0,0,1,0,9.2501040427539,10405.6482925471,9.52551547619689,13704.9927015413
11,0,1,13,"Northeast",0,1,0,0,8.54136705232213,5122.34208707506,9.07768942838405,8757.70732148736
8,0,1,21,"Northeast",0,1,0,0,8.6772996371329,5868.1789642303,8.18182729270735,3575.38196474953
10,1,0,8,"Southeast",0,0,0,0,8.4751854934883,4794.31199645213,8.84094760512209,6911.53894791669
15,1,1,9,"North",1,0,0,0,9.76299350058595,17378.5766669879,9.70290413489348,16365.0646084634
6,1,1,19,"Southeast",0,0,0,0,7.90891193752448,2721.42777139659,8.6949030959896,5972.39379072049
10,1,0,25,"South",0,0,1,0,8.61558053660017,5516.95047592144,8.79889510226406,6626.91789314388
14,1,1,5,"Southeast",0,0,0,0,8.79750309832753,6617.69961477795,6.88986575492614,982.26954351934
9,1,0,27,"Northeast",0,1,0,0,8.73725870394562,6230.79183449937,8.90698839374972,7383.39171317139
6,0,0,15,"Southeast",0,0,0,0,7.58917536510286,1976.68279984938,9.28498831786896,10775.0474413198
6,1,1,32,"Southeast",0,0,0,0,8.78906066187537,6562.06528142579,7.74545780758127,2311.05129854557
8,0,0,37,"Northeast",0,1,0,0,8.79509622270226,6601.79078784377,8.4335966063952,4599.01121630908
7,1,0,27,"North",1,0,0,0,8.1880263679372,3597.61486704329,8.07993659393169,3229.02849015263
9,0,0,17,"Southeast",0,0,0,0,9.19724706238967,9869.92034904779,7.92831951091292,2774.75993051734
8,1,1,19,"Southeast",0,0,0,0,8.59474700790593,5403.20193582982,9.40590806332006,12160.0110388518
9,0,1,4,"Southeast",0,0,0,0,7.88447530518776,2655.73121203647,7.07275976564499,1179.39841026256
11,1,0,27,"Northeast",0,1,0,0,9.25486877977827,10455.3467763078,9.18753399050457,9774.51718216285
12,1,0,33,"Southeast",0,0,0,0,9.05306289741455,8544.66933083339,8.92746407803192,7536.13008586462
15,0,0,13,"CenterWest",0,0,0,1,9.46666870799985,12921.7692652998,10.9170544579221,55108.2360147143
9,1,1,17,"Southeast",0,0,0,0,8.88782769007968,7243.26745911846,9.13852828034246,9307.05766780957
8,0,1,10,"CenterWest",0,0,0,1,8.00665455789691,3000.86109429691,9.06168585749192,8618.66825973432
15,0,0,6,"Northeast",0,1,0,0,8.62591437930475,5574.25736456052,7.72456573164652,2263.26950769435
15,0,0,28,"CenterWest",0,0,0,1,9.599874851269,14762.9338875205,10.2801169553528,29147.2822848833
10,1,1,1,"North",1,0,0,0,8.29518933656074,4004.56138463806,7.54192362993467,1885.4534536815
